@relation WDF

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
1192,289,9749.3,5,4,3,2,8,1591.732381,577.544147,7,19,13.922215
1193,121,22284.12,3,4,3,2,1,1628.895708,510.106579,7,19,14.91059
1200,204,5571.03,3,4,3,2,21,592.855885,352.844456,7,20,6.570578
1205,288,11142.06,8,7,3,7,4,2564.706576,1103.161544,6,18,13.947039
1207,306,8356.55,5,4,3,2,3,1225.850198,559.065769,8,18,14.58696
1209,180,2506.96,4,4,3,2,32,2543.25006,942.209454,6,18,20.998358
1210,361,22284.12,4,4,3,6,1,1680.924292,582.611306,6,18,12.773914
1211,187,22284.12,4,4,3,2,16,1138.722957,662.112797,7,20,14.228039
1213,182,13927.58,2,7,3,2,27,882.069942,445.319039,7,19,9.409687
1214,221,16713.09,8,4,3,2,1,1846.29529,830.320266,7,18,13.978011
1216,236,8356.55,3,4,3,6,20,892.033483,521.527431,9,19,12.115189
1217,252,23676.88,6,7,3,2,26,928.846482,420.170939,7,18,7.535513
1218,247,16713.09,3,7,3,6,2,1457.161465,603.100518,7,19,7.384245
1220,143,22284.12,3,7,3,2,1,725.121586,310.575564,7,20,3.429712
1222,110,1309.19,2,4,3,2,10,823.513804,473.732488,8,18,7.921876
1223,121,1392.76,4,4,3,2,5,760.532396,361.835898,9,20,7.846897
2217,63,1326.26,7,0,3,2,16,461.556014,440.476916,9,17,5.929796
2221,56,3978.78,5,0,3,2,15,241.560703,235.586142,5,18,1.828498
2223,56,3090.19,4,0,3,2,13,663.767613,503.619195,6,21,5.175366
2224,56,1856.76,5,0,2,2,12,538.898294,458.580985,8,18,6.301714
2226,56,13262.6,10,0,3,2,9,529.609504,493.247248,5,18,5.09148
2227,48,6631.3,1,0,2,2,5,254.918041,200.804205,6,17,2.873942
2228,63,5305.04,11,0,3,2,10,520.068179,442.420737,5,18,6.523579
